Rank,Release Group,Worldwide,Domestic,%,Foreign,%
180,Teri Baaton Mein Aisa Uljha Jiya,"$1,699,722",-,-,"$1,699,722",100%
181,Dead Man,"$1,689,878",-,-,"$1,689,878",100%
182,Mothers' Instinct,"$1,682,982",-,-,"$1,682,982",100%
183,Like a Prince,"$1,681,549",-,-,"$1,681,549",100%
184,Madame de Sévigné,"$1,640,410",-,-,"$1,640,410",100%
185,Sleeping Dogs,"$1,639,435",-,-,"$1,639,435",100%
186,I Did It My Way,"$1,628,896","$198,405",12.2%,"$1,430,491",87.8%
187,The Mummy 2024 Re-release,"$1,579,230","$1,579,230",100%,-,-
188,The Promised Land,"$1,564,910","$257,749",16.5%,"$1,307,161",83.5%
189,A Silence,"$1,562,685",-,-,"$1,562,685",100%
190,Romeo è Giulietta,"$1,555,180",-,-,"$1,555,180",100%
191,Dune IMAX,"$1,550,188","$570,000",36.8%,"$980,188",63.2%
192,Matka v trapu,"$1,522,436",-,-,"$1,522,436",100%
193,Let's Go Karaoke!,"$1,510,372",-,-,"$1,510,372",100%
194,Shaitaan,"$1,501,788",-,-,"$1,501,788",100%
195,Sladky zivot,"$1,497,390",-,-,"$1,497,390",100%
196,Trust,"$1,496,585",-,-,"$1,496,585",100%
197,National Theatre Live: Dear England,"$1,485,050",-,-,"$1,485,050",100%
198,Off-Season,"$1,481,675",-,-,"$1,481,675",100%
199,Rocky Road to Berlin,"$1,465,147",-,-,"$1,465,147",100%
200,Auction,"$1,464,883",-,-,"$1,464,883",100%
